"stage","tissue","cell_counts"
"21 dpf","Epithelial",4.81
"22 mpf","Epithelial",10.11
"24 hpf","Epithelial",9
"3 mpf","Epithelial",11.03
"72 hpf","Epithelial",3.38
"21 dpf","Erythroid",1.11
"72 hpf","Erythroid",0.56
"3 mpf","Germ",0.21
"21 dpf","Immune",1.48
"22 mpf","Immune",0.82
"3 mpf","Immune",0.83
"72 hpf","Immune",0.56
"21 dpf","Muscle",9.62
"22 mpf","Muscle",1.23
"24 hpf","Muscle",5
"3 mpf","Muscle",3.12
"72 hpf","Muscle",0.28
"21 dpf","Neuron",14.8
"22 mpf","Neuron",0.82
"24 hpf","Neuron",55
"3 mpf","Neuron",0.21
"72 hpf","Neuron",29.03
"22 mpf","Other",1.09
"3 mpf","Other",0.1
"72 hpf","Other",0.28
"21 dpf","Secretory",1.11
"22 mpf","Secretory",0.14
"3 mpf","Secretory",0.52
"21 dpf","Stromal",57.35
"22 mpf","Stromal",15.44
"24 hpf","Stromal",26
"3 mpf","Stromal",28.81
"72 hpf","Stromal",39.74
