"stage","tissue","counts_sum","Total_sum"
"10dpf","central_nervous_system",846.65,2344.99
"12hpf","central_nervous_system",6.08,2344.99
"14hpf","central_nervous_system",10.12,2344.99
"16hpf","central_nervous_system",20.22,2344.99
"19hpf","central_nervous_system",29.35,2344.99
"24hpf","central_nervous_system",37.31,2344.99
"2dpf","central_nervous_system",507.86,2344.99
"3dpf","central_nervous_system",730.33,2344.99
"5dpf","central_nervous_system",157.07,2344.99
"10dpf","mesenchyme",48.64,405.67
"2dpf","mesenchyme",132.69,405.67
"3dpf","mesenchyme",91.44,405.67
"5dpf","mesenchyme",132.9,405.67
"10dpf","lateral_mesoderm",2.85,162.25
"24hpf","lateral_mesoderm",5.71,162.25
"2dpf","lateral_mesoderm",125.25,162.25
"3dpf","lateral_mesoderm",8.52,162.25
"5dpf","lateral_mesoderm",19.92,162.25
"10dpf","periderm",5.09,117.62
"14hpf","periderm",2.58,117.62
"24hpf","periderm",2.92,117.62
"2dpf","periderm",47.13,117.62
"3dpf","periderm",0.98,117.62
"5dpf","periderm",58.92,117.62
"10dpf","intermediate_mesoderm",15.57,65.39
"16hpf","intermediate_mesoderm",2.13,65.39
"19hpf","intermediate_mesoderm",4.05,65.39
"24hpf","intermediate_mesoderm",2.1,65.39
"2dpf","intermediate_mesoderm",21.48,65.39
"3dpf","intermediate_mesoderm",6.44,65.39
"5dpf","intermediate_mesoderm",13.62,65.39
"10dpf","paraxial_mesoderm",6.07,49.44
"24hpf","paraxial_mesoderm",2.68,49.44
"2dpf","paraxial_mesoderm",28.58,49.44
"3dpf","paraxial_mesoderm",1.66,49.44
"5dpf","paraxial_mesoderm",10.45,49.44
"2dpf","neural_crest",14.9,19.04
"3dpf","neural_crest",1.02,19.04
"5dpf","neural_crest",3.12,19.04
