stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,1.41,0,0.28,0,0,0,1.69,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,6.29,1.11,0.74,0.37,0.37,0,0.37,0.37,1.85,0.37,0.74,4.81,1.11,2.22,0,0,0,1.48,0,0,0.37,0,0,0.37,0,0.37
3Month,0,0.1,0.1,1.14,0,0,0.31,0.52,0,0.62,0.42,0,0.94,0.1,0.42,0.1,0.31,0.21,0.1,0.1,0.21,0.1,0.1,0,0,0.1,0,0.1,0.52
22Month,0.14,0.27,0.14,0.96,0,0.14,0.27,0.55,0.14,2.19,0.55,0.14,3.42,0,0.27,1.37,0.27,0,0.14,0,0,0,0.14,0,0.14,0.14,0.14,0.14,1.37
