stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0.28,0.28,2.54,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,0,0
3Month,0.21,0.1,13.42,0.1,0.31,0.73,2.5,0.83,0.21,0.94,0.42,0.31,0.73,4.89,1.25,0,0.21,0.62,0.52,0.1,0,0.1,0,0.1,19.76,0.1,0,0.31,97.67,0.83
22Month,0.27,0.82,6.7,0,0.27,0.27,7.52,0.41,0.55,9.43,0,0.55,0.68,8.06,0.27,0.14,0.14,0.27,0.14,0.27,0.27,0.14,0.14,0,14.21,0,0,0,0.41,0.55
