stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Muscle_cell,Osteoblast
21Day,0.37,0,0,0,0,0
3Month,0.1,0.1,0.1,0.21,0.31,0.1
22Month,0,0,0,0,0.41,0
