stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,2,1,2,0,0,3,19,1,0,0
72hpf,0,0.28,0,0,0.28,0.56,1.69,0.85,0,0
21Day,0,0,0,0.37,2.22,0,0.74,0.74,0.37,0.37
