stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0.28,0.56,0,0.56,0,0,0,0.28,0,1.13,6.2,0.28,1.13,0,0.28,0.28,0,16.35,7.61,0,0,0,1.13,0,0,0.56,0,0.28,0,0,0
21Day,0.37,1.85,0,4.44,0.74,1.11,0,0,0,0,0,0,1.11,0,0.37,1.11,0.37,4.07,0,0,0,0.37,3.7,1.48,0,0,0,1.48,0.37,0,1.48,0,1.11,0,0,0.74
3Month,0,0.1,0.21,1.35,0.31,0,0,0,0.31,0.1,3.43,0.1,0,1.04,0.21,0.73,0.1,0.31,0.1,0,0.1,0.31,0,0,0,0.1,0,0,0.21,7.8,0,0,0,0.42,1.04,0.62
22Month,0.14,1.09,0.14,1.5,0,0,0.14,0.41,15.85,1.5,15.71,1.78,1.09,0.55,0.27,0.68,2.87,1.5,0.14,0.55,0.96,0,0.41,0.14,0.14,0.41,0.27,0,0,0.68,0.27,1.37,0,0.14,0,1.91
