stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0.56,0,0,0,10.43,0.56,0,0.85,0,6.48,0,0,1.41,1.69,0,0,1.13,0,0,0,0,0,0,0,0
21Day,2.22,0,13.32,4.07,0,1.11,0,0.74,1.11,0,0,0,0,0.37,58.09,0.37,2.22,0.74,3.33,0,0.37,1.11,0,2.22,1.11,0,0,1.48,1.85,0,0.74,0,0,0,0,0.37
3Month,0.1,0.73,7.18,10.82,0.1,0,0.73,0.1,46.5,2.7,3.64,9.78,3.02,0.52,400.67,5.62,3.02,1.77,2.6,0.83,0,0.94,0.52,0.21,0.1,0.52,0.1,0.1,2.08,8.74,0.21,0,0.1,0.73,5.3,2.39
22Month,0,0.68,1.64,4.51,0.14,0,0.14,0,13.25,1.09,1.09,13.25,0.14,0,260.59,1.91,0.41,0.82,0.68,0.14,0.68,0.55,0,0.27,0,0.82,0.41,0.14,0.27,7.93,0.14,0.41,0.14,0,0,0.96
