stage,Epithelial_cell__Brain_,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0
72hpf,0,0.28,0,0.28,0,0.28,0.56,0
21Day,0.37,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0,0,0,0.1
