stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,5.36,4.79,3.1,3.38,0,0,1.13,2.25,4.23,1.69,0,0
21Day,2.59,0,0,4.44,0,3.33,0,0,1.11,0,1.11,0,2.22,2.22,6.29,0,0.37,0,7.03,5.55,18.13,11.84,2.22,0,1.48,49.58,143.92,25.16,0,0.74
3Month,0,0.1,0.1,0.83,1.04,0,0.21,0,1.14,0.83,0.42,0.1,0,0,0.94,0.1,0.21,5.62,0.31,0.1,20.39,0.1,0,0.42,0,0.42,0.1,0.62,0.1,0.31
22Month,0,0.27,0,0.41,0,0,0.55,0.27,8.75,0,0.82,0,0,0.55,0.96,0,0,0.41,0.14,0.27,20.5,0,0,0.55,0,12.71,0,0.14,0,0.14
