stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0.85,0,0,0,4.23,2.82
21Day,0,0.37,0.74,0,0,0,0.37,0,0,0,0,1.11,0.74,0,5.55,0.37,0,0.37,0,8.51,29.6
3Month,0,0.1,0,0,0.1,0.1,0.42,0,0,0.21,0.1,0,0.21,0,0,0,0,0,0.1,0,0
22Month,0.14,0.68,0,0.14,0.14,0,1.78,0.14,0.14,0,0.14,0.14,0,0.14,0.55,0,0.14,0,0.27,1.64,0
