stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,29,0,0,0,0,0,0,26,0,0,0
72hpf,2.54,0.28,0,10.71,14.66,4.51,0,0,0,0,0.28,0,0,0,0.28,0,0.56,40.02,0,76.66,0,1.41,0,14.09,9.02,0,3.38,0,0,1.69,0,31.29,0,0,0
21Day,5.55,0,0.37,66.97,12.58,9.62,0,2.96,0,0,0,0,0,0.37,0.37,0.74,1.48,72.15,1.48,35.89,0,2.22,0,6.66,4.07,0.37,2.59,2.96,0,0.37,0.74,3.7,0,0,1.11
3Month,0.31,0.52,0.1,42.65,2.5,0,0.73,0.94,0.21,0.42,0.73,0,4.37,0.42,0.31,1.98,0.94,22.99,1.87,1.77,0.1,0.42,0.31,0.21,0.62,0.31,0.21,0.62,12.59,0.1,0,4.06,4.37,1.98,0.62
22Month,0,0.14,0,10.8,0.27,0,0,0,0,0,0.14,0.55,3.55,0.27,0,0.14,0.41,5.88,0,1.78,0.68,0,0,0,0,0.27,0.14,0,5.06,0,0,0,0.14,0,0.14
