stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,1.13,4.23,1.13,4.23,0,0.28,0,0.28,0.28,0,0,0,0.85,8.17,0.28,3.66,0,0,664.03,26.49,0.56,0.56,6.48,0,0,1.97,0.28,0,1.13,0,0,0
21Day,2.59,0,6.66,0,4.44,0,0,0,0,0.37,0.37,1.11,0,0,2.59,1.48,1.85,0,0.37,180.18,7.77,0,0.37,2.22,4.07,0,0.74,1.85,0.74,0.74,0,0,0.37
3Month,0,0,8.84,0.1,0,0.1,0.1,0.31,0.42,1.04,0.31,0,0.83,0.21,0.73,0.52,0.94,0.1,0,9.57,0.73,0.62,0,0,0.21,2.39,0,0,0,0.1,0.31,0.21,0.31
22Month,0,0,1.37,0,0,0.14,0,0.14,0.27,4.1,0.14,0,0.27,0,0.14,0,0.27,0,0,4.1,0.14,0,2.19,0,0,4.92,0,0,0,0,0,0,0
