stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,3,0,0,1,0,0,0,0,0
72hpf,4.23,0,0,0.28,0,0.28,0.28,0,0
21Day,4.81,0,0,0.37,1.11,0,0,0.37,0.37
3Month,0.1,0,0.1,0.1,0,0,0,0.1,0
22Month,0,0.14,0,0.14,0.14,0,0,0,0
