stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,8.17,0.85,0,0,0,0,0,0.56,52.99,1.41,0,0,0
21Day,2.59,0,0,4.81,6.66,0,0.37,0.37,0,0.37,1.11,1.48,0.37,1.48,1.48,4.07,0,0,0.74,0,6.66,2.22,0,0.37,1.48,6.29,0,0,194.61,6.66,2.22,0,0
3Month,0,0.1,0,0.1,0,0,0,0.31,0,0.42,0,0.31,0,0,0.52,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1.98,0.1,0,0.1,0
22Month,0.14,0.27,0.27,1.09,0,0.27,0.55,3.69,0.14,7.79,0.41,2.05,0,0.14,0.68,0.82,0,0.41,0.14,0,0.14,0,0.14,0.14,0.14,0,0.14,0.96,102.21,0,0,0,0.68
