stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1
72hpf,0,0,0,0,0.56
21Day,0.37,0.74,0.37,0.37,0.37
