stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0.37,0.37,0,0,0,0,0.74,0,0.37,0,0,0,0
3Month,0,0.1,0.21,6.66,0.1,0.21,0.62,0.83,0,5.1,1.14,0.31,2.91,0.94,1.35,1.46,0.83,0.31,0.21,0.62,0.21,0,0.21,0.31,1.04,12.69,1.25,0,0,0,0.21,183.07,1.25
22Month,0,0.27,0,2.87,0,0,0,1.64,0.41,5.19,0.96,0.27,0.96,0.14,0,0.96,0.55,0.27,0,0,0.27,0,0.14,1.5,0,10.11,4.78,0.14,0,0,0,0.96,0
