stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,1,0,0,0,0,0,1,0,4,3,0,24,1,0,0,0
72hpf,0,0.56,0.85,0.28,0.28,0,0,0,0.56,1.69,1.69,6.48,3.66,0.56,0.56,0,0
21Day,0.37,0,0,0,0,0,1.48,0,0,0.37,1.11,0.37,0,0,0,0.37,1.48
3Month,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.96,0.41,0,0,0,0.41,0.14,0,0,0,0,0,0
