stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,0,0,0,0,2,1,1,19,0,0,0,7,205,1,0,3,0,0,0,0,0,1,0,0
72hpf,6.48,1.41,0,3.66,1.41,2.25,0,0,0,0,0,0,0.28,0,1.97,5.92,1.13,28.47,0,0.56,1.69,408.4,69.33,0.28,0,16.35,0,0,9.86,0,0,2.25,0,0
21Day,6.29,2.22,0.37,7.4,0.74,4.07,0,1.11,0.37,1.11,0.74,1.11,1.48,1.85,0,2.22,1.48,41.44,0,0,3.7,106.19,21.46,0.74,0.74,6.29,5.55,0.37,7.03,1.11,1.48,0.74,0,1.48
3Month,0,1.77,0,5.3,0,0,0.21,0,0.31,0.31,0.83,0.21,0,1.04,0,4.16,0.42,1.04,0.1,0.1,0.21,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.42
22Month,0,0.68,0,0.41,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0.41,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
