stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,44,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0.85,0,0,0.28,13.81,1.97,0.56,0.28,1.69,0.56,0,0.56,0.56,0,0,0.28,0,0
21Day,0,1.11,1.11,0.37,1.11,0,0,0,2.22,1.85,0.37,0,0,0.37,0,0,0,1.11,0,0.37,0,0.74
3Month,0,0.42,0,0,0,0,0,0,0.1,0,0.21,0,0,0,0.1,0,0,1.77,0,0,0.1,0
22Month,0,0.41,0,0,0.14,6.15,0.14,0,0.27,0.14,0.41,0,0,0,0,0,0,2.05,0.14,0,0,0
