stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,13,66,0,0,0,4,44,0,0,0,0,0,0,0,0,0
72hpf,7.33,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,45.66,0,8.46,0,9.02,4.79,0,0.28,1.13,0,0,0.28,0,0,0
21Day,1.48,0.37,0,1.11,0.37,0,0,0.37,0,0,0,0.37,0.74,0,0.37,1.48,24.79,0,27.75,0,1.48,0.74,0,0,0.74,0.74,0,0,0.74,0,0.74
3Month,0.1,0.31,0.21,1.04,0,0.1,0.21,3.33,0,1.04,0.62,0,0.1,0.1,0.31,2.39,7.59,0.1,2.5,0.1,0.1,0,0.1,0,0.1,0.1,2.08,0,0,0.94,0.31
22Month,0,0.55,0,0.14,0,0.14,0,17.63,0.55,3.96,0.55,0.27,0.14,0.14,0.27,5.06,2.46,0,1.37,0,0,0,0,0,0,0,0.96,0.14,0,0,0
