stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0,12.68,0.56,0.56,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,0,4.44,0,0.37,0,0,0,0.37,0,0.37
3Month,0,0.21,0.52,0.21,0.1,0.21,0,34.01,1.56,0,0.31,3.22,0.52,0.21,0,0.1,0.94,0,2.29,0.21,0.21,0.62,0.1,9.67,0.1
22Month,0,0,0.41,0.14,0.27,0.27,0.14,27.19,0.68,0,0,0.14,0.82,0,0.55,0.14,1.09,0,0.96,0,0,0.96,0.14,0,0.14
