stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Retinal_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0.37,0,0,1.11,0,0,0,0
3Month,0.1,0.1,0,0,0.62,0.42,0.21,0.1,0.21,0,0.1,0.21,0,0,0.21,0
22Month,0.27,0,0.14,0.27,2.46,0,0.68,0,0.14,0.14,0,0,0,0.14,0.14,0.14
