stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,2,0
72hpf,0,0.28,0,0,0,0.56,0.85,0
21Day,0,0,0,0,0.37,0,1.11,0
3Month,0.1,0,0.21,0.21,0,0,0,0.1
