stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3Month,0.42,0.1,3.12,0.21,0.1,1.14,0.31,3.02,0.21,0.31,2.91,0.1,0.31,0.62,0.21,0.42,0.1,0.1,0,0.1,3.02,0.31,3.43,0.73
22Month,0.41,0,0.14,0,0,0.14,0,0.55,0,0.14,0.82,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0
