stage,Epithelial_cell,Immune_cell,Keratinocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,0.37,0,0,0,0,0
3Month,0.21,0.1,0.21,4.78,0.21,0.83
22Month,0,0,0,0.82,0,0
