stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,1.13,0.28,0.28,0,0,0,0,5.64,2.25,0,0,0,0.28,0,0,0.56,0,0.56,0,0,0
21Day,0,0,0,1.11,0.37,1.11,0.74,0.37,0.37,0,0,0.37,0,0,0.37,0.37,0.37,0,0,1.11,0,6.29,0.74,0.37,0,0,0.37,0.37,0,2.22,0,0.37,0,0,1.48
3Month,0.1,0.73,0.1,2.7,0,0,0.21,0.62,0.83,3.02,0.31,0.1,0.62,0.73,0.83,1.04,0.83,0.1,0,0.31,0.1,0.42,0.1,0.21,0.21,0,0,0.31,6.87,0,0,0,0.31,2.39,2.91
22Month,0,0.14,0,0.68,0,0,0,0,0.41,4.24,0.27,0,0.27,0,0,0.27,1.09,0,0.14,0,0,0,0.14,0.14,0,0.14,0,0,0.41,0.14,0.14,0,0,0,0.68
