stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,1,13,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,1.69,0,0.28,0,0,0,0,0,0,0,1.69,2.82,0,1.41,0,0,0.28,0,2.54,1.97,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,1.11,1.11,0,0.74,0,0,0,0,0,0.74,0,3.7,0,0.37,0.74,0,0,0,0,1.48,1.48,0,0.37,0,0.37,0.37,0,0,0.37
3Month,0,0.1,0.1,1.14,0,0,0,0.1,0.31,0.1,5.2,0.62,0.1,1.56,0.94,0.31,0.42,0.62,0.1,0,0.1,0.52,0,0,0.1,0,0.42,6.03,0,0.31,1.56,1.35
22Month,0,0.14,0.14,0.14,0,0.14,0,0.14,0.41,0.55,9.7,0.14,0,1.09,0.27,0.14,0.27,0.41,0,0.27,0.27,0,0,0,0,0,0,0.68,0,0,0,0.14
