stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,0,0,0,3,41,0,3,0,0,0,0,2,0,0,0
72hpf,0.85,0.28,0,1.97,0,0.56,0,0,0,0,0,0,0,0,0,0.56,2.54,0,12.12,0,0,0.28,2.25,7.61,0,7.89,0,0,1.97,0.28,1.69,0,0,0
21Day,1.11,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,7.03,0,0,1.11,0.74,2.96,0,4.07,0.74,0.37,0.74,0,0.37,0,0,0.37
3Month,0,0.31,0.1,1.66,0.1,0,0.1,0.21,0.31,0.73,0.1,2.29,0.73,0.21,0.73,0.1,0.42,0.62,4.06,0,0,0.52,0,0,0,0.1,0.31,0.31,0.62,0,0,0.31,0.21,0.42
22Month,0,0.68,0,1.5,0,0,0.14,0.14,0,0.82,1.64,6.7,0.14,0.27,0.27,0,0.14,0.14,5.06,0.55,0.27,0.14,0,0,0.27,0.14,0,0.41,0.41,0,0,0.14,0,0.41
