stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,2.25,2.82,0,0,0,0,0,0,4.79,1.97,0.28,0.28,0,0.28,0,0,0.28,0.28,0.56,0,0,0
21Day,0,0.37,0.37,3.33,0,0,0.74,0,0,0,0.74,0.37,1.11,0,0,0.74,0.37,1.85,0,0,0.74,0,1.85,2.22,0,0.37,0,0,0.37,0.37,0.37,0.74,0,0,0,0.74
3Month,0,0.52,0.52,10.82,0.31,0.31,0.1,2.81,2.08,0,34.33,2.91,0.73,2.91,0.42,1.66,1.66,1.25,0.31,0.1,0.21,0.31,0.42,0.1,0.31,0.21,0,0,0.31,4.47,0.42,0,0,0.62,0.73,3.33
22Month,0,1.5,0.82,3.96,0.41,0,0.14,1.64,3.69,1.09,27.33,1.37,0,1.91,0.14,0.41,2.73,1.5,0.14,0.27,0.82,0,0.27,0.14,0.55,0,0.14,0,0.14,0.27,0.82,0.27,0,0.41,0,1.37
