stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0.56,0,0.56,0,16.07,1.69,0,0.28,0.56,0
21Day,0,0,0,0,0.37,0.37,0.74,0,0.37,0.74,0,4.81,1.11,0,0.37,0,0
3Month,0,0,0.1,0,0.1,0,0.21,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1
22Month,0,0.14,0,0.14,0.96,0,0,0.14,0,0.14,0,0.14,0,0.14,0,0,0
