stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0.74,0
3Month,0,0,0,0,0,0,0,0,0,0.1,0.21,0,0,0,0,0.21,0,0,0
22Month,0,0.96,0,0.14,0.27,0.27,1.78,0,2.19,0,0,0.27,0.14,0.14,0.14,0,0.14,0,0.27
