stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.66,0,0,0,0,0,0.28,0,0,0,0,0.56,0.56,0,0.85,0,0,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,1.85,0,0,7.03,0,0,0.74,0,0,0,0.37,0,0.37,0,0,1.11,0,3.33,0,0,0.74,0,1.48,0.37,0.37,0,0,2.96,1.11,0,0,0,0,0,0.74
3Month,0,0.21,0.31,55.13,0.21,0.1,112.86,1.46,0,0,5.93,1.77,0.1,4.37,0.62,1.14,1.98,1.25,0.52,0.21,1.04,0.42,0.31,0,0.31,0.1,0,0.31,0.62,1.87,0,0.1,0.21,1.35,1.46
22Month,0,2.05,1.5,18.86,0.14,0,69.14,3.01,0.68,0,52.61,0.41,0.14,8.2,0,0.41,1.78,2.46,0.14,3.42,0.96,0,0.14,0,0.96,0.27,0.14,0.41,0.14,0.55,0.27,0,0,0,0.82
