stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0.28,1.41,0,0,0,0,10.15,0.28,0,0,0.28,0,0.85,0,0
21Day,0,0,1.48,0,0,0.37,0,0.37,0,0,0.37,1.48,0,0,0,0,4.81,0,0,0,0,0,0,0.74,0
3Month,0.1,0,1.98,0.1,0.1,0.73,0,2.29,0.31,0.73,0.42,0.42,0.83,0.31,0.21,0.21,0.42,0.1,0,0,0.1,0.83,0,0,0.31
22Month,0,0.14,0.55,0,0.27,0.41,0.27,5.06,0,0.27,0,0,0.27,0.41,0,0,0,0,0.14,0.14,0,0.14,0.14,0,0.14
