stage,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,3.95,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0.37,0,0,1.48,0,0,0,0,0
3Month,0.1,0.1,0.52,0.1,0.31,0.1,0,0,0.1,0.1,0.1,13.11,0.1,0,0,0.1,0,1.14,0.21,0,0.1,0.31
22Month,0,0,0.14,0,0.68,0,0.14,0.14,0,0,0.14,1.37,0,0,0,0,0,0.41,1.78,0,0,0
