stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
72hpf,1.41,0,0,0,0,0,0,0,0.28,0.28,0,0,0.28,0.28,0,0,0,0
21Day,1.85,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,0,0.42,0.1,1.04,0.1,0.21,0.1,0.21,0.42,0.1,0.21,0,0,0.1,0.83,0.1,16.75
22Month,0,0.14,0.14,0,0.55,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.14
