stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,1,1,0
72hpf,0.28,0,0,0,0.28,0,0,0,0.85
21Day,0,0.37,0,0.37,0,1.48,0,0,1.48
22Month,0.14,0,0.41,0,0,0,0,0,0
