stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,2,0,10,0,0,0,0,0,3,0,0,0,1,2,7,2,6,0,0,0,0,1,59,0,0,1,0,0,1,0,0
72hpf,0.28,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0,9.86,0,1.69,0,2.82,0,0,0.56,0,0,0,3.38,0.28,0,0,0,0
21Day,1.85,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0
3Month,0,0,0,0.52,0,0,0.1,0,0,0,3.85,0.21,0,0.21,0,0.1,0,0,0.1,0,0.21,0.1,0,0,0.21,0,0,0.21,2.5,0,0.1,1.14
22Month,0,0.96,0.41,1.5,0,0.14,0,0.14,0.27,0,9.84,0.55,0.14,0.27,0,0.14,0.27,1.5,0,0.27,0.27,0,0,0,0,19.95,0,0,2.87,0,0,0
