stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0,4.23,0,1.69,0.85,0,0,0,0,4.51,2.82,0,0,3.95,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,1.48,2.96,0,0,0,0,1.48,0.37,0,0,2.59,0.37,0.37,0,0,0.37,0,0,0,0.37
3Month,0.1,0.52,0.31,5.1,0,0.1,0.1,0.73,2.29,0,5.3,3.95,0.21,3.95,3.85,2.29,1.87,9.36,0.94,0,2.08,0.42,0.42,0.21,0.62,0.21,0.1,0.31,3.64,0.1,0,0,0,0.42,1.14,0.94
22Month,0,1.09,0.27,4.1,0.14,1.09,0,0.27,5.74,0.27,16.26,1.23,0.41,1.64,1.78,0.68,4.78,10.39,0.27,3.01,0.68,0,0.27,0.14,0.14,0.82,0.14,0.14,21.45,0.41,0.14,0,0,0.14,0,0.82
