stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0,0,0.28,0.28,0,2.25,0.28,0.28,0,0.28
21Day,0,0,0,0.37,0.37,0.37,0,0,0.37,0
22Month,0.27,0.14,0,0,0,0,0,0,0,0
