stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,4.07
3Month,0.42,0.31,0.21,0.42,0.1,0.1,0.52,0.52,0.42,0.31,0,0.1,0.1,0,0.1,0,0,0.21,0.1,0.1,28.6
22Month,0.41,0.14,0.41,0.96,0.14,0.14,0.27,0,0.55,0.41,0.14,0,0,0,0,0,0.27,0,0,0,15.85
