stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,2,2,20,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0.28,0.28,0.28,3.1,0.85,0.56,0,0,0,0,0,0
21Day,0.74,0.74,0.37,0.37,0.37,0,0,0.37,1.11,2.59,0.74,0.37,0.37,0,0,0.37,0.37,0
3Month,0,0.1,0,0,0,0.21,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0.1
22Month,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0
