stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,0,5,0,0,0,0,0,0,0,2,0,4,3,0,1,116,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0,1.69,1.97,0,0,0,1.13,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0.37,1.11,0.37,1.11,0,0,0,0.37,0.74,0.37,0,0
3Month,0,0,0.62,0.21,0,0,0.62,0.52,0,0.21,0,0.21,0.31,0.42,0,0,0,0.1,0,0,0.1,1.25,0,0.21,0.21
22Month,0,0.27,0.96,0,0.55,0.14,5.47,0.14,0,0.14,0,0.55,0.68,0.55,0,0.14,0.14,0.14,5.47,0,0,1.78,0,0,0
