stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,1.97,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0.28,0,0,0,35.51,2.82,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0.74,1.85,0,0.37,0,0,0,0,1.11,0,0,0,0.74,0,0,0,0.37,28.86,1.85,2.22,0,0.74,1.11,0,0.74,0,0.37,0,0,0.37
3Month,0,0.83,0.83,0,0,0.21,0.21,1.25,1.25,0.42,0.1,0.31,0.31,1.14,0.94,0.21,0,0.21,2.5,0.1,1.46,0,0,0.1,4.26,0.62,0,0,0.42,12.69,3.74
22Month,0.27,0.41,0.14,0,0.14,0.27,0.82,2.32,0.27,0.27,0.14,0.14,0.14,2.87,1.09,0.14,0.14,0.55,1.23,0,2.32,0.14,0.14,0,1.37,1.09,0.14,0,0.27,0,3.42
