stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,1.41,0.28,0,0,0.28,0,0.85,0.28,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0.37
3Month,0,0,0.21,1.66,0,0.21,0.31,0,0,2.5,0.73,0.1,0.83,0.1,0.62,0.62,0.73,0,0.1,0.21,0,0,0,0,0.62,46.81,0,0.1,2.08,0.52
22Month,0,0.68,0.14,2.19,0,0.27,0.96,0.55,0,9.57,0.68,0.41,1.37,0,0.14,0.14,1.09,0.82,0.14,0.41,0,0.27,36.35,0,0,45.78,0,0,0,0.27
