stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0.28,0.28,0
21Day,1.11,0,0,0,0.37,0.37,0,0,0
3Month,0,0,0,0,0,0.52,0,0,0
22Month,0,0.55,0.14,0.14,0,0.41,0,0,0.14
