stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,2,0,0,0,0,1,1,5,2,19,1,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0.28,1.69,1.97,2.25,1.41,0,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0.37,0.74,0.37,0.37,0.37,0.74,0,0,0
3Month,0,0,0.73,0.21,0.21,0.1,0.1,0,0.21,0,0,0,0,10.19,0.1,0.1,5.62
