stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.97,0.85,0.56,0,0,0,0,0,0,0.28,0,0,0,0.85,6.48,0.28,1.97,0,0,0,0,6.76,4.23,0,0,0,0.85,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0,1.48,0,0.37,0,0,0,0,0,0,0,0,0,1.11,0,1.85,0.74,1.85,0,0,0.37,0,1.85,0.37,0.37,0,0,0,0.37,0.37,0.74,0,0.74,0,0,0,0.74
3Month,0,0.21,0.21,5.51,0,0,0.21,0.1,0.73,0.31,0,0,12.79,0.42,0.1,9.36,0.52,1.14,0.52,1.77,1.04,0,0.42,0.31,0.73,0,0.42,0.42,0,0.1,0.1,8.74,0,0,0,0.1,0.31,2.08,0.31
22Month,0,0.27,0.41,1.5,0,0,0.14,0,1.09,0.41,0.14,0,30.2,0.27,0,8.75,0,0.14,0.82,1.09,0,0.96,0.41,0.14,0,0.27,0.68,0.27,0.27,0,0,1.5,0.27,0.27,0,0,0.27,0,0
