stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4,0,12,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0
72hpf,16.07,0,0.56,1.13,0,0.28,0,0,9.58,0.85,0,1.41,0,0.56,1.41,1.13,1.13,0,0.28,0
21Day,4.44,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0.21
22Month,0.14,0.14,0.41,0,0.27,2.32,0,0,0,0,0.41,0.27,0,0,0,0,0,0.55,0,0
