stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37,1.48,0,0,0,0.37,0
3Month,0.1,0.1,0.1,1.25,0.31,0.62,0,4.16,1.14,1.35,0.42,0.52,0.52,0.73,0.31,0.42,0,0,0.31,0.1,1.14,76.35,0.21,0.1,0.1,70.52,0.62
22Month,0,0,0.14,0,0,0,0.27,1.37,0,0.41,0,0,0,0,0,0,0,0,0,0,0,13.39,0.14,0,0,0.14,0
