stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,21,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0.28,8.17,0,14.09,0,0,0.28,0,3.95,1.97,0,0,0,19.17,0,0,0.28,2.25,0,0,0
21Day,1.48,0.37,0,9.99,1.11,0,0.37,0,0.37,0,0,0.37,0,0,0.74,0,19.61,0,0,0.37,0,2.22,2.22,0.74,0,0,12.21,0,0,0.37,1.48,0.37,0,0
3Month,0,0.42,0.1,28.92,0,0.1,0.1,0.62,1.56,5.1,0.42,0.1,1.56,0.73,1.46,0.42,6.45,1.04,0,0.31,0.1,0.21,0,0.1,0.1,0,0.21,0.31,2.08,0,0.1,17.58,0.94,1.56
22Month,0,0.14,0.14,7.79,0,0.14,0,0.27,0.82,12.03,0.41,0.55,0.82,0,0.55,0.55,1.37,0,0.27,0,0,0,0,0.27,0.14,0.14,0,0,0.41,0.27,0,0.96,0,0.68
