stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,0,0,1.69,0.28,0.28,0,0,0,0,0,0,0,0,0,1.13,4.23,0.28,0,0,0.28,0,5.07,1.13,0,0,0.28,0,0,0.56,0.28,0,0,0,0
21Day,4.44,0,0,5.55,0,0,0,0.37,0.37,0.37,0,0,0,0.37,0.74,0.37,1.11,0.74,2.22,0,0,0,3.7,1.48,0.37,0.37,0.74,0,1.11,0.37,0.37,0.37,0,0,0
3Month,0.1,0.1,0,12.9,0,0,0.1,0,1.77,2.29,0,4.06,1.14,0.31,4.68,2.08,3.33,1.25,0.62,0,0.94,0.31,0.73,0,1.25,0.1,0,0.31,7.18,0.42,0,0,0.42,1.35,1.35
22Month,0,0.55,0.14,1.78,0,0,0,0,0.27,1.23,0.14,5.6,0.68,0.14,3.01,0.14,0.27,0.82,0.55,0.14,0.27,0,0.41,0,0.55,0,0,0,0.96,0.27,0,0,0,0,0.14
