stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
72hpf,1.13,0.56,1.13,0,0,0,0,0,0,0,0.85,1.41,0,0,1.13,0.28,2.54,0,0,0.28,0,0,0
21Day,0.37,0.74,1.85,0,0.37,0,0,0,0,0,0.37,0.74,0,0,0,1.11,1.85,0.37,0,0,0,0,0
3Month,0,0.21,0.52,0,0,0.1,0.31,4.89,0.31,0.1,0.73,1.25,0.52,0.21,0.1,0,0,0,1.87,0.1,0.21,3.64,0.31
22Month,0,0,0.27,0.14,0,0,0,2.6,0,0,0,0.27,0,0,0,0,0,0,3.28,0,0,0,0
