stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0.56,0,0,0
3Month,0,0.21,0.62,4.37,0.1,0.52,1.56,12.38,2.6,0,4.99,0.52,1.46,1.46,1.66,0.21,0.1,0.42,0.73,0.42,0.21,0.31,0.21,1.25,66.99,0.1,0.1,0,0.73,329.01,1.98
22Month,0,0,0,0,0,0.14,0.27,2.05,0,0.14,1.23,0,0,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0.14,18.04,0,0,0,0,0.55,0
