stage,Epithelial_cell,Hepatocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0
3Month,0,0.21,0.62,0.1,0.62,0.31
22Month,0,0.41,0,0,0,0
