stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.69,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0.28,0,0,0,2.25,2.54,0,0,0.28,0,0,0,0,0.56,0,0
21Day,0,2.22,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0.37,2.96,0,0,0.37,4.44,8.14,0.74,0,0.74,0,0.37,0.37,0.37,0.74,0,0
3Month,0.1,1.77,0.94,0.1,0,0.1,0,0.21,0,1.98,0.1,0,0.52,0.21,0.21,0.52,3.22,0.52,0,0.21,0.21,0.1,1.87,0,0.42,0.1,0.83,0.31,0,2.29,0.1,0.31
22Month,0.14,3.55,2.05,0,0,0.27,0.14,0.82,0.27,8.47,0,0.14,0.41,0,0,0.27,8.34,0,0.27,0,0,0.27,7.79,0.41,0,0,1.64,2.6,0.14,0.41,0,0.14
