stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,1.41,0,0.28,0,0.85,0.28,0,0,0.85,0,0,0.28,0,0
21Day,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0.74,0.37,0,0
3Month,0.1,0.73,0.1,0,0.1,0.1,0.94,0.31,0.52,0,0,0.21,0.1,0,0,0,0.1,0,0,0.1,16.85,0.1,10.82,0.42
22Month,0,0.14,0,0,0,0,0.82,0,0.27,0,0,0.41,0.14,0.14,0,0,0,0.14,0,0,4.24,0,0,0
