stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0
3Month,0,0,0,0,0.21,0,0,0,0.1,0,0,0.1,0.1
22Month,0.14,0.27,0.14,0.14,0.82,0.14,0,0.41,0,0.14,0,0.14,0
