stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,6.76,2.25,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0,1.85,1.85,0.37,0,0,0,0,0,0.37,0.37,0,1.48,0,3.7,0.37,0,3.7,0.37,0,0,1.85,0,0,0,0,0,0
3Month,0,0.73,2.5,0,0,0.31,0.52,0,3.64,0.52,0.31,1.25,0.1,0.42,0.52,1.14,0,0.21,0.42,0.21,0.21,0,0,0.21,7.07,0.21,0.31,1.35,0.62
22Month,0,0.55,0.27,0,0.14,0,0.27,0.27,3.28,0.14,0.14,0.14,0,0,0.27,0.14,0,0,0.14,0,0,0.14,0,0,1.78,0,0,0,0
