stage,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
72hpf,0,0,0,0.28,0,0,0,0.28
21Day,2.22,0,0,0,0,0.37,0,0
3Month,0,0.52,0,0,0.31,0,0,0
22Month,0,0.68,0.14,0,0,0.14,0.14,0
