stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,2,0,0,0,0,0,1,0,0,0,0,2,4,0,5,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.56,0.85,0,0,0,0,0,0,0,0.56,0,0.28,0.85,0,3.66,0,0,0.28,0.28,49.04,28.18,0,1.41,0.56,0,0.85,2.54,0,0.56,0,0,0
21Day,2.22,0.37,1.85,1.11,0,1.48,0.37,0,0,0,0,2.22,0,0,0.74,0.37,4.07,0,0,0.37,0,7.4,6.29,0,0.37,0.37,0.74,0.37,1.11,1.48,0,0,0,1.85
3Month,0,0,1.87,0,0.1,0.21,0.1,0.52,0,0.94,0.21,0.52,0.42,0,0.52,0.62,1.35,0.1,0,0,0,0.21,0.1,0,0,0,11.13,0,0,0,0,0.21,1.35,0.62
22Month,0,0.14,0.55,0,0.14,0.27,0.14,0.41,0,1.91,0.14,0.41,1.37,0,0.14,0.41,0.68,0,0.14,0.14,0,0,0,0.14,0,0,4.92,0,0,0,0,0,0,0.41
