stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0.56,2.25,0.56,0,0,0,0,0.28,0,0
21Day,0,0.74,0,0.74,0,0,0,0,0.37,0.37,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.21,0.1,1.35,0.1,0,0.31,0.1,0.83,0,0.31,0.1,0.21,0.1,0,0,0,0,0.31,3.74,0,0,0,2.5,0.42
22Month,0,0,0,0.27,0,0.14,2.73,0.14,0.41,0,0.14,0.27,0,0,0.14,0,0,0,0,0.27,0.14,0,0,0,0
