stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.69,4.79,0,0,0.28,0.28,0,0.56,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.48,1.11,0,0,0.37,0,0,0,2.59,16.65,0,0,0,0
3Month,0.21,0.31,2.7,8.11,0.1,0.94,2.18,2.39,0.1,596.95,1.98,0.52,9.05,1.25,2.18,1.46,2.81,0.31,1.35,1.25,1.14,0.52,0.62,0.52,0.52,0.1,7.49,5.93,0.31,0.1,0,0.21,1.98,4.16,2.08
22Month,0,0.27,0,0.14,0,0,0,0,0.14,8.88,0.14,0,0.14,0,0.14,0.14,0.55,0,0.55,0.14,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0
