stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,2,0,5,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0.37,0,0.37,0,0,0,0.37,1.11,0,0.37,0.37,0.37,0.74,0.37,0,0,1.11,0.37,0,0,0.37,0
3Month,0.21,0,0.42,0,0.1,1.04,0,0.1,0,0,0.31,0.83,0.1,0.1,0,0,0,0.1,0,0,0,0.31,0,0,0.31
22Month,0.14,0.14,0.41,0,0.27,0.41,0.14,3.01,0.55,0.14,0.68,1.09,1.78,0,0.14,0.14,0,0.14,0.14,0,0,1.09,0.14,0,0
